,decimalLatitude,decimalLongitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Carex_aboriginum|IDA|spm00001838|Racemosae,47.19737367,-116.3636993,34,139,33.66666667,8893,249.6666667,-149.3333333,399,39.33333333,85.66666667,146.6666667,-82,529.3333333,67.66666667,22,28.33333333,184.6666667,88.33333333,134.3333333,145
Carex_abrupta|BRC|spm00001126|Ovales,38.5851751,-119.7380441,54.5037037,137.1234568,44.22716049,5959.987654,232.5333333,-74.01975309,306.5530864,-6.955555556,128.7135802,134.8469136,-13.11111111,832.3308642,141.7975309,11.31358025,65.79259259,391.0592593,50.71851852,58.96790123,381.2987654
Carex_abscondita|MRY|spm00000676|Careyanae,35.70228738,-82.6898776,148.6410256,122.0940171,36.4957265,7652.213675,312.7094017,-20.12820513,332.8376068,164.9401709,133.4786325,244.1965812,47.02564103,1286.700855,140.8034188,77.66666667,16.36752137,382.6923077,261.4358974,333.2649573,325.4529915
Carex_acaulis|CLS|spm00000518|Abditispicae,-41.41896667,-69.36693333,107.3333333,131,50,4698.333333,252,-6,258,102.3333333,115,166.6666667,46.66666667,549.3333333,88.66666667,14.66666667,50,246.6666667,52.66666667,111.6666667,173
Carex_accrescens|KOR|spm00000018|Ammoglochin,50.42192629,147.6116213,-7.6,76.2,18.6,11413.2,192,-206.4,398.4,106.8,-120,136.4,-153.2,760.2,107,36.4,33.8,282.6,118.4,269.2,141
Carex_acicularis|NZ?|spm00005161|Aciculares,-42.64203571,171.5544278,78.30851064,91.17021277,45.71276596,3652.021277,183.7446809,-13.9787234,197.7234043,60.40425532,94.63829787,123.9042553,29.60638298,2428.276596,244.3510638,137.212766,15.08510638,696.6914894,502.5957447,523.9468085,626.287234
Carex_acidicola|ALA|spm00000658|Griseae,33.04411286,-85.84402571,170.7142857,131.4285714,40.28571429,7145.142857,327,4.142857143,322.8571429,105.7142857,196.5714286,260,75.71428571,1341.857143,151,73.14285714,19.71428571,406,252.4285714,325.5714286,380.7142857
Carex_acuta|Italy|spm00003084|Phacocystis,55.37589374,11.72333277,74.58938953,72.90492865,28.71280391,6510.631409,212.0601216,-42.90129493,254.9614165,122.0389799,23.51136364,158.6431025,-7.372159091,701.920917,77.62334831,39.35128171,21.57069239,218.7670455,129.0393763,203.0514006,157.6574392
Carex_acutiformis|TVL|spm00002122|Paludosae,53.40767699,7.806691528,86.12449385,69.71177207,29.66509608,5805.139218,208.6020761,-23.39475815,231.9968343,113.5997939,40.85202091,160.1484208,13.05683575,712.5576088,75.20834867,41.47088272,18.1953913,214.4972392,135.6533903,194.9243908,159.348892
Carex_adelostoma|ARK|spm00001619|Racemosae,63.99926955,13.88066995,7.244255744,71.502331,25.28937729,7265.265568,156.9515485,-122.9245754,279.8761239,68.7044622,-26.07592408,103.2827173,-82.99300699,875.2420912,108.004662,43.07392607,29.05960706,295.4055944,143.7380952,250.7424242,202.2925408
Carex_adusta|ABT|spm00002072|Ovales,49.31801696,-87.2821426,18.52525253,114.3030303,25.2020202,11372.0101,234.2525253,-214.2323232,448.4848485,125.5151515,-83.13131313,156.5050505,-136.1919192,779.7070707,99.60606061,36.22222222,35.58585859,279.1212121,121.8585859,257.8181818,145.8787879
Carex_aestivalis|PEN|spm00000681|Hymenochlaenae,38.43918654,-80.68481002,98.04,122.06,35.22,7974.2,269.84,-74.68,344.52,161.36,19.62,197.86,-8.16,1247.34,124.98,82.46,13.46,353.32,264.2,339.3,276
Carex_aethiopica|CPP|spm00004365|Spirostachyae,-33.34918165,22.31027129,161.0416667,106.3333333,55.97916667,2798.208333,253.4583333,65.39583333,188.0625,145.9791667,169.2916667,196.0416667,124.8958333,796.4791667,98.16666667,42.0625,27.8125,274.1875,137.4791667,161.2708333,231.6875
Carex_aggregata|KTY|spm00000685|Phaestoglochin,39.53225664,-90.52080564,115.635514,122.9626168,30.62616822,9570.906542,310.6542056,-85.24299065,395.8971963,203.2897196,-9.644859813,234.5046729,-13.58878505,964.8411215,119.0186916,39.75700935,33.6635514,328.1028037,137.9626168,309.0186916,139.2149533
Carex_alajica|CHX|spm00003353|Careyanae,38.9,75.2,4,112,26,10496,210,-213,423,130,-116,130,-142,106,18,2,64,48,8,48,9
Carex_alata|ALA|spm00000687|Ovales,36.37674396,-80.95498362,144.3076923,118.6703297,36.21978022,7611.637363,307.0769231,-22.72527473,329.8021978,182.7692308,109.1098901,239.0989011,43.12087912,1194.626374,138.2967033,67.71428571,21.02197802,380.4395604,229.6153846,350.1648352,272.5494505
Carex_alatauensis|AFG|spm00003401|Kobresia,33.60250606,83.92984129,16.94117647,128.7941176,36.85294118,7534.735294,179.5,-168.9117647,348.4117647,50.5,-1.205882353,109.2352941,-84.47058824,567.3529412,121.2352941,3.970588235,88.38235294,323.6764706,16.23529412,231.7647059,78.29411765
Carex_alba|SPA|spm00000584|Albae,47.68313683,10.09761668,76.53396968,88.3935991,32.16563728,6563.080292,221.6501965,-49.54744526,271.1976418,133.7973049,19.3396968,158.9758563,-9.498596294,964.3896687,116.0280741,55.17237507,26.05895564,331.3935991,179.4053902,325.0623245,194.665918
Carex_albata|JAP|spm00005254|Phleoideae,37.11154091,139.2637,68.45454545,90.86363636,26.86363636,8494.272727,236.2727273,-95.5,331.7727273,176.5454545,-38.72727273,177,-38.95454545,1807.363636,261.0909091,76,44.86363636,742.9090909,239.1363636,742.3636364,243.4090909
Carex_albicans|ARK|spm00005157|Acrocystis,39.05128919,-82.65138449,115.9539171,119.06298,32.6374808,8665.142857,297.6789555,-66.64362519,364.3225806,155.2242704,45.9047619,224.3563748,0.270353303,1104.488479,121.4669739,64.15975422,19.80491551,335.4331797,212.8740399,296.8878648,232.1612903
Carex_albolutescens|OKL|spm00000694|Ovales,29.95533219,-79.46471661,146.4380165,118.3057851,39.76859504,7071.157025,301.553719,-12.83471074,314.3884298,172.6694215,118.6033058,234.661157,52.33884298,1282.752066,141.9421488,74.67768595,17.61983471,388.1900826,255.107438,350.9917355,310.8595041
Carex_albonigra|ARK|spm00001621|Racemosae,50.4244049,-122.1559478,-15.81171548,117.58159,32.79079498,8618.723849,178.9288703,-186.4811715,365.4100418,38.21338912,-30.90376569,95.77405858,-121.7029289,619.1631799,88.21338912,26.58995816,39.87866109,238.2426778,92.56066946,163.8953975,173.1799163
Carex_albursina|KTY|spm00001384|Laxiflorae,41.97071729,-81.77159276,88.24734982,111.360424,28.76325088,9488.038869,279.7349823,-101.745583,381.4805654,159.1837456,-20.32155477,206.0070671,-38.97173145,984.7314488,103.4911661,56.63250883,17.82332155,291.5300353,190.2084806,274.770318,200.5335689
Carex_allanii|NZS|spm00002185|Aciculares,-44.34587189,170.3235458,73,99.11111111,46,4036.222222,188,-25.88888889,213.8888889,87.88888889,50.22222222,123.2222222,18.55555556,1228,120.5555556,79.11111111,12.33333333,339.7777778,269.3333333,291.5555556,311.6666667
Carex_alma|CAL|spm00000703|Multiflorae,34.19692782,-116.9975781,128.9458988,145.7242583,46.21116928,6029.849913,303.9633508,-9.387434555,313.3507853,74.91797557,190.7801047,210.3420593,58.89354276,538.104712,100.539267,3.272251309,76.90924956,280.6893543,21.87434555,52.28970332,254.0279232
Carex_alopecuroides|KOR?|spm00000321|Molliculae,20.22480979,126.1085846,171.4444444,74.11111111,47.16666667,3233.111111,248.6111111,84.77777778,163.8333333,205,137.5555556,208.3888889,127.6666667,2801.277778,394.2777778,96.16666667,44,1093.555556,321.8888889,1024.388889,390.4444444
Carex_alta|CH?|spm00002237|Planatae,26.4708591,102.611497,132.3,97.2,41,5139.1,236.9,-1.4,238.3,189.7,69.9,192.2,61.8,1156.8,236.1,13.9,78.3,628.2,55.5,626.5,58.8
Carex_amphibola|ALA|spm00000654|Griseae,38.79979,-81.5866167,119.8271605,118.8312757,32.69135802,8617.576132,300.0164609,-61.11934156,361.1358025,167.037037,48.51851852,227.5802469,4.699588477,1128.975309,117.4814815,68.99588477,15.40329218,328.8271605,230.8271605,300.0246914,249.8888889
Carex_amplifolia|NEV|spm00000715|Anomalae,41.78403098,-121.1114833,84.43812709,136.4147157,44.16053512,5961.016722,264.5150502,-42.41471572,306.9297659,18.92307692,160.7324415,163.3110368,13.79264214,1049.682274,181.3411371,11.85953177,66.42140468,502.8996656,56.84949833,63.7458194,483.7692308
Carex_andersonii|AGS|spm00000522|Phacocystis,-48.48777567,-71.93444433,66.66666667,90.66666667,47.66666667,3416,171.3333333,-14.33333333,185.6666667,58.33333333,90.66666667,109.3333333,22,979,141.3333333,39.66666667,27.66666667,375,142.6666667,154.3333333,355.6666667
Carex_andina|CLC|spm00000527|Junciformes,-35.62378183,-70.8150085,94.5,137.5,54.66666667,4169.333333,239.5,-7.333333333,246.8333333,46.5,148.6666667,148.6666667,41.83333333,664.3333333,128.3333333,13.5,81.33333333,352.6666667,49.5,49.5,334.3333333
Carex_andringitrensis|MDG|spm00000169|Indicae,-22.216667,46.916667,165,107,62,2442,246,76,170,190,137,190,129,1226,263,23,90,729,72,729,76
Carex_angolensis|MLW|spm00000170|Indicae,-11.625,27.4416665,200.5,146,57,2377.5,316.5,63.5,253,214.5,165,223.5,165,1248.5,266.5,0,105,780,1,472.5,1
Carex_angustata|CAL|spm00000713|Phacocystis,40.54291957,-119.6871182,69.36917563,145.4480287,43.88888889,6365.301075,260.7849462,-67.44802867,328.2329749,8.792114695,143.1577061,153.7204301,-5.41218638,980.3333333,165.7383513,11.02508961,66.20430108,459.0645161,54.50896057,63.21505376,443.702509
Carex_angustispica|MXS|spm00000262|Porocystis,19.88694433,-98.26740733,184,136.6666667,64,2303.666667,289.3333333,75.66666667,213.6666667,199.6666667,160,209.3333333,151.6666667,1371.666667,317.6666667,26.33333333,82.66666667,707.6666667,85.66666667,484.3333333,94
Carex_anisostachys|MXT|spm00000258|Longicaules,18.14415947,-96.61715188,167.78125,138.125,69.34375,1547.28125,264.71875,66.28125,198.4375,176.46875,153.09375,185.3125,146.0625,1272.78125,245.75,16.59375,82.375,646.65625,58.75,389.59375,78.71875
Carex_annectens|ALA|spm00000730|Multiflorae,39.39034491,-85.48781142,116.9205128,119.525641,31.2,9119.438462,304.8794872,-74.09230769,378.9717949,175.4666667,24.77948718,230.7461538,-5.376923077,1054.697436,120.5230769,55.09487179,24.15641026,329.9282051,184.3769231,301.5615385,196.0538462
Carex_anthoxanthea|WAS|spm00001568|Circinatae,57.42172156,-124.188793,23.02173913,69.63043478,28.79710145,6118.471014,153.5362319,-88.26086957,241.7971014,47.9057971,31.84782609,104.4855072,-49.79710145,1381.891304,188.4202899,64.77536232,33.82608696,504.557971,217.7608696,307.7608696,365.3623188
Carex_aperta|BRC|spm00001842|Phacocystis,46.42758892,-116.7769106,71.59036145,115.5903614,37.19277108,6766.879518,247.4096386,-64.37349398,311.7831325,27.54216867,115.9036145,158.7590361,-13.62650602,1099.975904,168.6626506,26.97590361,48.34939759,478,109.0240964,138.1807229,427
Carex_aphylla|AGS|spm00000526|Junciformes,-38.47997514,-71.24551518,85.61904762,131.0952381,53.76190476,4095.190476,227.1904762,-14.33333333,241.5238095,41.38095238,138.4761905,139.1428571,33.66666667,954.952381,184,20,72.61904762,491.8095238,76,76.47619048,471.952381
Carex_appalachica|MAS|spm00000721|Phaestoglochin,41.30569561,-76.62274928,88.34375,113.3125,30.765625,8921.90625,271.609375,-93.96875,365.578125,139.953125,-1.15625,199.765625,-30.828125,1102.859375,107.953125,74.25,10.921875,305.71875,238.703125,292.453125,249.265625
