,decimalLatitude,decimalLongitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Carex aboriginum,4.296151026,2.97291378,27.05549852,21.07921567,4.05517502,392.3098265,36.36084585,27.9602893,16.563011,64.48858641,72.11410711,31.10376897,25.23885893,42.15184193,9.820613242,1.732050808,2.905932629,22.80594464,7.535103037,45.32230258,19
Carex abrupta,0.126927542,0.088352326,1.609414995,0.760791358,0.148559913,28.05178791,2.018979738,1.532553974,1.447509038,1.561588959,1.729067936,1.634587704,1.58798508,14.2277414,2.582956131,0.284174696,0.570334651,7.284753657,0.907330396,0.948594978,7.043820464
Carex abscondita,0.355819169,0.632266187,3.106007545,1.019554096,0.430495354,84.81942195,1.912584929,3.792541163,2.398943588,7.286728876,8.244447249,2.096101082,4.122935167,16.18813584,2.459613045,0.921226901,0.525449899,6.240530245,2.889465419,6.047391104,6.760289728
Carex acaulis,4.306777457,2.241731192,26.84730485,19.29594085,3.214550254,523.6138314,42.71221527,8.736894948,34.01960219,61.43108153,14.4222051,34.19714088,20.26765348,154.6763646,33.76553141,1.201850425,11.26942767,92.17615985,6.666666667,54.38852003,109.4942921
Carex accrescens,2.697103272,3.431599265,18.33926311,4.135214626,0.573211504,721.7708085,5.593363414,24.97084014,20.19476594,9.759244701,16.51406327,8.011598735,24.70020243,94.91703144,14.9642431,5.213992164,1.236354087,36.00555513,15.93648106,34.27347996,12.69701877
Carex acicularis,0.216252115,0.315422648,1.725833337,0.592146864,0.149445969,30.84236413,1.390635755,1.992262471,1.330906415,2.029710637,4.808024708,1.517839404,2.045759858,77.60787343,7.62019838,4.504017687,0.383442359,22.17056562,17.21301481,18.68309304,18.37687653
Carex acidicola,0.208102026,0.601518332,2.020305089,0.428571429,0.285714286,78.27072328,0.690065559,2.939295117,2.882034429,9.792402997,8.83137573,1.133893419,3.11459151,36.97517093,4.418575508,4.930123979,0.968904283,12.23577892,7.957796844,4.08164966,12.14929801
Carex acuta,0.036836224,0.071223383,0.203450678,0.070393192,0.038386412,11.10739576,0.106234314,0.378802026,0.374347374,0.312916614,0.324169374,0.087954744,0.335262807,0.971723945,0.089390369,0.080056393,0.060957094,0.254294661,0.265516664,0.205121672,0.326125241
Carex acutiformis,0.025849244,0.041529502,0.100007306,0.091510607,0.037176095,5.042727285,0.139930985,0.182340839,0.17724084,0.372335523,0.233006964,0.082889723,0.139557086,1.025585293,0.118782856,0.079542445,0.042915517,0.343203957,0.245869772,0.259446226,0.367639604
Carex adelostoma,0.046697835,0.125903738,0.314460281,0.130838272,0.023746961,17.4653036,0.301833342,0.579852986,0.654311324,0.592577347,0.615385734,0.275041632,0.476834576,4.832871327,0.534222066,0.233461849,0.08220356,1.50833004,0.8364295,0.749002739,1.521875762
Carex adusta,0.381616354,1.536266828,2.80938966,1.289193189,0.378231571,160.9794615,2.425400843,5.181847315,4.899828638,6.29918476,8.169643374,2.132508621,4.670346565,22.86659821,2.177205149,1.978004985,1.55865265,6.182533578,6.01665746,4.681757639,9.193518021
Carex aestivalis,0.433487173,0.89857758,3.591936548,1.282984403,0.598835605,133.7641024,3.154311594,4.176751985,3.687733666,7.178127776,9.459252678,3.15206573,4.666542661,39.04451264,3.472867427,3.510824079,1.086544795,9.351391471,10.81231346,7.985509836,12.89249109
